"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.testResult","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.sample","BASIN","LOCATION","RIVMILE","SMPL_RMRK","SAMPLE_DATE","SAMPLE_TIME","sample_date_text"
"13-MONH-0.4-7192017-WS","SM 4500-H+B","7/20/2017 11:08","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-005",NA,0,"mL",NA,NA,NA,NA,NA,"","PH","PH",8.46,NA,"TRG","Yes","Y","H",NA,"H",NA,NA,NA,NA,"pH units","pH units",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","SM 4500-H+B","7/20/2017 11:08","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-005",NA,0,"mL",NA,NA,NA,NA,NA,"","TEMP","Temperature of pH Analysis",21.1,NA,"TRG","Yes","Y","H",NA,"H",NA,NA,NA,NA,"deg c","deg c",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","SM10200H","7/21/2017 10:30","TRUE",NA,"initial","WS","LB",NA,NA,4,"METHOD","7/20/2017 10:45",NA,NA,"ALSRNY","quant","R1706637-005",NA,1037,"mL",NA,NA,NA,NA,1037,"mL","479-61-8","Chlorophyll A",2.91,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.15,"ug/l","ug/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","SM2540C","7/26/2017 14:50","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-005",NA,100,"mL",NA,NA,NA,NA,100,"mL","TDS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",525,NA,"TRG","Yes","Y","",NA,"",NA,4,NA,10,"mg/l","mg/l",NA,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-QKER-0.9-7192017-WS","Calculation","7/20/2017 14:25","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",1.23,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","D6919-09","8/2/2017 20:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.144,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E120.1","7/24/2017 14:11","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,NA,"",NA,NA,NA,NA,NA,"","COND","Conductivity at 25 Degrees Celsius",548,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"umhos/cm","umhos/cm",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E180.1","7/20/2017 14:01","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",15.7,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.7","7/25/2017 9:57","TRUE",NA,"initial","WS","LB",NA,NA,1,"SW3010A","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7429-90-5","Aluminum",304,NA,"TRG","Yes","Y","",NA,"",NA,80.1,NA,100,"ug/l","ug/l",NA,80.1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.7","7/25/2017 9:57","TRUE",NA,"initial","WS","LB",NA,NA,1,"SW3010A","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7439-89-6","Iron",1250,NA,"TRG","Yes","Y","",NA,"",NA,55.4,NA,100,"ug/l","ug/l",NA,55.4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.7","7/25/2017 9:57","TRUE",NA,"initial","WS","LB",NA,NA,1,"SW3010A","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7439-95-4","Magnesium",14300,NA,"TRG","Yes","Y","",NA,"",NA,110,NA,1000,"ug/l","ug/l",NA,110,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.8","7/25/2017 17:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7439-92-1","Lead",1,NA,"TRG","Yes","Y","",NA,"",NA,0.405,NA,1,"ug/l","ug/l",NA,0.405,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.8","7/25/2017 17:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-02-0","Nickel",3.1,NA,"TRG","Yes","Y","",NA,"",NA,0.45,NA,1,"ug/l","ug/l",NA,0.45,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.8","7/25/2017 17:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-22-4","Silver",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.131,0.131,1,"ug/l","ug/l",NA,0.131,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.8","7/25/2017 17:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-38-2","Arsenic",1.6,NA,"TRG","Yes","Y","",NA,"",NA,0.389,NA,1,"ug/l","ug/l",NA,0.389,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.8","7/25/2017 17:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-43-9","Cadmium",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.182,0.182,1,"ug/l","ug/l",NA,0.182,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.8","7/25/2017 17:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-50-8","Copper",7,NA,"TRG","Yes","Y","",NA,"",NA,0.652,NA,1,"ug/l","ug/l",NA,0.652,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E200.8","7/25/2017 17:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-002",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-66-6","Zinc",7.3,NA,"TRG","Yes","Y","",NA,"",NA,3,NA,5,"ug/l","ug/l",NA,3,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E300.0","7/28/2017 18:13","TRUE",NA,"initial","WS","LB",NA,NA,10,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","16887-00-6","CHLORIDE (AS CL)",68.8,NA,"TRG","Yes","Y","",NA,"",NA,0.2,NA,2,"mg/l","mg/l",NA,0.2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E353.2","7/20/2017 14:25","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.051,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.01,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E353.2","8/2/2017 12:46","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",1.28,NA,"TRG","Yes","Y","",NA,"",NA,0.0025,NA,0.0025,"mg/l","mg/l",NA,0.0025,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","E365.1","7/26/2017 20:52","TRUE",NA,"initial","WS","LB",NA,NA,10,"METHOD","7/24/2017 14:06",NA,NA,"ALSRNY","quant","R1706637-002",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.653,NA,"TRG","Yes","Y","",NA,"",NA,0.02,NA,0.03,"mg/l","mg/l",NA,0.02,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","SM 2320 B","7/29/2017 17:13","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",134,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","SM 2340 C","7/25/2017 11:00","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,15,"mL",NA,NA,NA,NA,100,"mL","HARD","HARDNESS (AS CACO3)",183,NA,"TRG","Yes","Y","",NA,"",NA,0.5,NA,13,"mg/l","mg/l",NA,0.5,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","SM 4500-H+B","7/20/2017 11:08","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,0,"mL",NA,NA,NA,NA,NA,"","PH","PH",7.82,NA,"TRG","Yes","Y","H",NA,"H",NA,NA,NA,NA,"pH units","pH units",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","SM 4500-H+B","7/20/2017 11:08","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,0,"mL",NA,NA,NA,NA,NA,"","TEMP","Temperature of pH Analysis",20.6,NA,"TRG","Yes","Y","H",NA,"H",NA,NA,NA,NA,"deg c","deg c",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","SM10200H","7/21/2017 10:30","TRUE",NA,"initial","WS","LB",NA,NA,2,"METHOD","7/20/2017 10:45",NA,NA,"ALSRNY","quant","R1706637-002",NA,376,"mL",NA,NA,NA,NA,376,"mL","479-61-8","Chlorophyll A",6.32,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.21,"ug/l","ug/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-QKER-0.9-7192017-WS","SM2540C","7/25/2017 10:05","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-002",NA,100,"mL",NA,NA,NA,NA,100,"mL","TDS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",312,NA,"TRG","Yes","Y","",NA,"",NA,4,NA,10,"mg/l","mg/l",NA,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13QKER-0.9_07192017_WS","WS","N","Field","","R1706637","7/19/2017 11:30","13QKER-0.9_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"QKER",0.9,"07192017_WS","7/19/2017","11:30",7192017
"13-WALK-46.6-7192017-WS","Calculation","7/20/2017 14:27","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-004",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",0.509,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13WALK-46.6_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:01","13WALK-46.6_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"WALK",46.6,"07192017_WS","7/19/2017","14:01",7192017
"13-WALK-46.6-7192017-WS","D6919-09","8/2/2017 22:28","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0533,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13WALK-46.6_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:01","13WALK-46.6_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"WALK",46.6,"07192017_WS","7/19/2017","14:01",7192017
"13-WALK-46.6-7192017-WS","E120.1","7/24/2017 14:11","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-004",NA,NA,"",NA,NA,NA,NA,NA,"","COND","Conductivity at 25 Degrees Celsius",509,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"umhos/cm","umhos/cm",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13WALK-46.6_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:01","13WALK-46.6_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"WALK",46.6,"07192017_WS","7/19/2017","14:01",7192017
